Buggy Code,Fixed Code,Bug Type,Severity,Frequency,Programming Language
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndexError,High,376,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Low,355,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Low,486,Java
printf('Hello'),printf('Hello');,TypeError,Medium,473,C
console.log('Hello'),console.log('Hello');,AttributeError,Low,139,JavaScript
console.log('Hello'),console.log('Hello');,IndentationError,Critical,348,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Medium,391,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Low,495,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Medium,343,Java
for i in range(10) print(i),for i in range(10): print(i),NameError,Critical,130,Python
console.log('Hello'),console.log('Hello');,LogicalError,Medium,283,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Critical,493,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",NameError,Medium,58,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Low,198,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,High,51,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",NameError,High,482,Python
console.log('Hello'),console.log('Hello');,IndexError,High,94,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,High,348,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Low,473,JavaScript
console.log('Hello'),console.log('Hello');,LogicalError,High,101,JavaScript
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",AttributeError,Medium,158,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Critical,300,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,284,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Low,121,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Critical,499,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,High,108,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Medium,226,C++
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Medium,142,Java
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Low,303,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,High,260,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,High,259,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Critical,410,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",SyntaxError,High,406,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,Low,421,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,High,88,Python
printf('Hello'),printf('Hello');,LogicalError,Low,489,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Low,167,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Medium,266,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Medium,304,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,Medium,299,Java
printf('Hello'),printf('Hello');,IndentationError,Critical,87,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Medium,105,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,High,255,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,126,C++
console.log('Hello'),console.log('Hello');,SyntaxError,Medium,436,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Critical,174,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,419,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Medium,245,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,High,232,C++
for i in range(10) print(i),for i in range(10): print(i),NameError,Medium,351,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Critical,245,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,High,205,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Low,468,Python
console.log('Hello'),console.log('Hello');,LogicalError,Medium,446,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Critical,330,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,High,129,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Critical,486,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndexError,Medium,336,Python
for i in range(10) print(i),for i in range(10): print(i),NameError,Critical,312,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Critical,296,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Critical,303,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,High,387,C++
for i in range(10) print(i),for i in range(10): print(i),NameError,Critical,493,Python
printf('Hello'),printf('Hello');,NameError,Low,92,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Medium,194,Python
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Critical,453,Python
printf('Hello'),printf('Hello');,NameError,High,458,C
printf('Hello'),printf('Hello');,IndentationError,Medium,338,C
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,468,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,485,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,89,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Critical,334,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",AttributeError,Medium,54,Java
console.log('Hello'),console.log('Hello');,IndexError,Medium,75,JavaScript
console.log('Hello'),console.log('Hello');,AttributeError,Medium,262,JavaScript
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,High,456,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Critical,96,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,High,173,Python
console.log('Hello'),console.log('Hello');,LogicalError,Low,432,JavaScript
printf('Hello'),printf('Hello');,NameError,Medium,372,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Low,132,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Critical,494,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",LogicalError,High,437,Python
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,High,263,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,High,207,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Critical,294,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",SyntaxError,Low,277,Java
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndentationError,Critical,428,Python
printf('Hello'),printf('Hello');,IndentationError,High,307,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",AttributeError,Low,61,Python
for i in range(10) print(i),for i in range(10): print(i),TypeError,High,417,Python
for i in range(10) print(i),for i in range(10): print(i),IndexError,Medium,154,Python
printf('Hello'),printf('Hello');,LogicalError,Critical,418,C
printf('Hello'),printf('Hello');,NameError,Low,290,C
printf('Hello'),printf('Hello');,LogicalError,Low,248,C
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",IndexError,Critical,262,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,Critical,116,C++
for i in range(10) print(i),for i in range(10): print(i),NameError,Low,259,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",LogicalError,Low,185,Python
printf('Hello'),printf('Hello');,IndentationError,High,494,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",IndentationError,Critical,457,Java
for i in range(10) print(i),for i in range(10): print(i),SyntaxError,Critical,293,Python
printf('Hello'),printf('Hello');,SyntaxError,Low,372,C
printf('Hello'),printf('Hello');,IndentationError,Low,418,C
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,High,174,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Critical,317,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,Critical,438,C++
"def add(a, b)
    return a + b","def add(a, b):
    return a + b",TypeError,Critical,420,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",IndentationError,Medium,395,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",NameError,Medium,478,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,445,C++
printf('Hello'),printf('Hello');,IndentationError,Low,143,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,High,221,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",TypeError,Medium,443,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Critical,297,Python
printf('Hello'),printf('Hello');,TypeError,High,479,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Low,54,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",SyntaxError,Critical,125,Python
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Medium,486,C++
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Low,100,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Medium,175,Python
for i in range(10) print(i),for i in range(10): print(i),LogicalError,High,473,Python
for i in range(10) print(i),for i in range(10): print(i),IndentationError,High,263,Python
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",LogicalError,Low,496,Java
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",TypeError,Critical,117,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Medium,176,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",AttributeError,High,191,C++
printf('Hello'),printf('Hello');,TypeError,Critical,141,C
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",LogicalError,Low,138,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Low,54,C++
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,High,157,Python
printf('Hello'),printf('Hello');,AttributeError,High,92,C
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",TypeError,Low,99,Python
printf('Hello'),printf('Hello');,IndentationError,High,350,C
console.log('Hello'),console.log('Hello');,IndentationError,High,133,JavaScript
for i in range(10) print(i),for i in range(10): print(i),TypeError,Medium,138,Python
"if x = 5:
print('x is 5')","if x == 5:
print('x is 5')",AttributeError,Medium,50,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Low,310,JavaScript
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",SyntaxError,Low,178,C++
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndentationError,Low,224,C++
console.log('Hello'),console.log('Hello');,NameError,High,293,JavaScript
for i in range(10) print(i),for i in range(10): print(i),LogicalError,Low,68,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",IndentationError,High,414,Python
console.log('Hello'),console.log('Hello');,SyntaxError,Medium,353,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",LogicalError,Medium,398,Python
printf('Hello'),printf('Hello');,AttributeError,Critical,411,C
"public class Test {
  public void main() {
    System.out.println('Hello');
  }","public class Test {
  public static void main(String[] args) {
    System.out.println('Hello');
  }",NameError,High,87,Java
"for(int i = 0; i < 10; i++)
cout << i","for(int i = 0; i < 10; i++) {
 cout << i; 
}",IndexError,High,227,C++
console.log('Hello'),console.log('Hello');,AttributeError,High,363,JavaScript
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",SyntaxError,Critical,412,Python
console.log('Hello'),console.log('Hello');,TypeError,Critical,211,JavaScript
for i in range(10) print(i),for i in range(10): print(i),TypeError,Medium,213,Python
console.log('Hello'),console.log('Hello');,AttributeError,High,147,JavaScript
for i in range(10) print(i),for i in range(10): print(i),AttributeError,Low,313,Python
"x = [1, 2, 3]
print(x[3])","x = [1, 2, 3]
print(x[2])",NameError,Low,379,Python
